distribution_id,distribution_date,location_id,beneficiary_id,item_category,quantity,est_value_usd
1,2025-04-08,4,602,Medicine Pack,7.0,45.65
2,2025-03-04,3,268,Rice (kg),4.6,30.49
3,2025-04-24,4,1662,Pulses (kg),0.4,2.16
4,2025-03-17,4,823,Pulses (kg),7.5,41.9
5,2025-01-23,4,427,Cooking Oil (L),1.3,6.06
6,2025-03-16,5,801,Rice (kg),2.4,8.5
7,2025-06-15,4,1704,Pulses (kg),8.0,53.2
8,2025-08-22,4,1709,Hygiene Kit,5.0,19.73
9,2024-12-06,6,556,Rice (kg),13.5,45.02
10,2025-06-24,3,1650,Cooking Oil (L),1.2,4.55
11,2024-11-24,4,30,Medicine Pack,3.0,15.87
12,2025-08-03,5,370,Rice (kg),3.2,20.58
13,2025-06-22,4,1114,Medicine Pack,4.0,20.9
14,2025-06-21,3,1131,Water (L),2.8,9.72
15,2024-11-29,5,261,Rice (kg),6.6,42.24
16,2025-03-14,6,714,Cooking Oil (L),11.5,69.76
17,2025-03-07,5,103,Hygiene Kit,7.0,38.61
18,2025-03-11,4,27,Cooking Oil (L),9.5,35.75
19,2025-04-04,1,681,Rice (kg),1.9,12.59
20,2025-07-13,3,349,Water (L),11.9,58.69
21,2025-05-19,5,1751,Water (L),9.0,54.18
22,2024-12-20,5,501,Cooking Oil (L),2.4,13.7
23,2024-11-17,5,1973,Rice (kg),0.8,5.3
24,2025-01-09,2,1094,Rice (kg),6.2,37.46
25,2024-12-30,6,741,Flour (kg),7.0,40.79
26,2024-11-02,4,1282,Flour (kg),12.4,46.32
27,2024-10-21,2,1289,Flour (kg),2.4,13.61
28,2025-06-15,1,1022,Rice (kg),2.3,11.72
29,2025-05-27,1,1880,Rice (kg),14.5,74.46
30,2025-02-26,1,211,Cooking Oil (L),12.2,68.17
31,2025-03-06,1,517,Flour (kg),4.7,17.74
32,2025-07-04,3,746,Flour (kg),0.7,2.94
33,2025-08-18,6,1246,Flour (kg),1.9,7.76
34,2025-05-27,3,1862,Flour (kg),1.6,6.84
35,2025-07-19,6,862,Water (L),1.1,6.36
36,2024-12-28,5,35,Medicine Pack,6.0,33.63
37,2024-12-03,1,1791,Rice (kg),4.2,23.81
38,2025-07-17,6,1088,Rice (kg),8.2,38.63
39,2024-12-20,5,1169,Flour (kg),1.1,5.55
40,2025-04-23,6,1477,Cooking Oil (L),2.2,14.43
41,2025-03-31,1,334,Water (L),5.6,38.2
42,2025-07-06,1,570,Rice (kg),8.6,52.13
43,2025-08-25,4,1207,Pulses (kg),11.7,76.32
44,2025-04-21,3,1519,Flour (kg),4.8,15.84
45,2025-02-25,5,696,Rice (kg),0.6,2.12
46,2024-12-28,2,483,Pulses (kg),12.2,67.4
47,2024-10-18,3,1454,Flour (kg),12.5,44.58
48,2025-04-01,2,1522,Pulses (kg),4.7,29.79
49,2024-11-12,5,154,Medicine Pack,4.0,17.0
50,2024-09-15,1,412,Flour (kg),4.6,23.36
51,2025-05-12,1,1629,Pulses (kg),11.4,44.8
52,2025-08-08,1,708,Pulses (kg),1.1,5.59
53,2024-12-01,4,732,Hygiene Kit,18.0,99.08
54,2024-11-23,2,1099,Flour (kg),12.4,61.56
55,2025-04-30,6,900,Rice (kg),5.0,20.51
56,2025-03-06,4,1070,Rice (kg),3.8,14.1
57,2025-06-07,6,1207,Rice (kg),5.6,23.79
58,2025-02-24,6,223,Medicine Pack,1.0,3.25
59,2025-02-09,3,1906,Medicine Pack,2.0,7.85
60,2025-01-07,6,1358,Medicine Pack,2.0,7.93
61,2024-11-21,2,1865,Flour (kg),6.1,38.4
62,2025-08-29,6,671,Flour (kg),10.6,45.08
63,2025-04-26,5,643,Flour (kg),3.1,14.12
64,2025-06-06,4,1262,Rice (kg),6.7,26.42
65,2025-06-23,1,1639,Flour (kg),16.2,66.72
66,2025-07-25,5,1104,Flour (kg),1.6,10.95
67,2025-02-26,5,302,Water (L),6.9,30.87
68,2025-03-28,1,68,Pulses (kg),6.3,40.88
69,2024-12-06,2,1275,Water (L),2.5,9.89
70,2024-12-30,2,1007,Rice (kg),3.4,11.15
71,2024-10-06,1,687,Medicine Pack,3.0,13.22
72,2025-07-11,1,1040,Rice (kg),4.6,24.6
73,2025-03-14,1,386,Rice (kg),3.6,22.43
74,2025-05-12,5,985,Rice (kg),3.9,19.35
75,2025-03-11,5,204,Rice (kg),0.8,2.47
76,2024-10-14,1,1488,Pulses (kg),0.2,1.26
77,2025-03-16,4,675,Pulses (kg),6.6,31.55
78,2024-09-25,3,1283,Medicine Pack,3.0,11.53
79,2025-05-08,6,1625,Water (L),5.4,28.25
80,2025-08-31,6,84,Flour (kg),6.6,38.72
81,2025-02-08,3,924,Hygiene Kit,4.0,26.24
82,2025-07-17,3,315,Flour (kg),7.4,39.92
83,2025-06-24,2,1873,Cooking Oil (L),6.6,41.61
84,2024-09-17,4,51,Flour (kg),2.2,14.03
85,2025-07-12,6,1441,Rice (kg),2.9,12.06
86,2025-06-18,4,1457,Water (L),13.7,42.05
87,2025-07-06,3,1307,Rice (kg),2.9,16.81
88,2025-04-09,6,1208,Pulses (kg),7.1,22.9
89,2024-09-30,3,1610,Flour (kg),3.6,23.79
90,2024-09-17,4,506,Pulses (kg),10.3,65.57
91,2025-04-10,5,1685,Rice (kg),8.8,60.15
92,2025-01-12,6,1272,Flour (kg),2.0,7.39
93,2024-09-17,2,1773,Flour (kg),3.5,22.85
94,2024-11-23,2,185,Water (L),1.9,9.85
95,2024-09-30,6,34,Cooking Oil (L),5.3,32.8
96,2025-04-21,5,589,Flour (kg),5.1,25.53
97,2025-06-26,4,1274,Pulses (kg),6.0,20.61
98,2025-02-24,1,588,Cooking Oil (L),8.3,32.71
99,2024-12-20,5,1522,Hygiene Kit,11.0,66.27
100,2025-02-12,5,1439,Rice (kg),6.8,30.35
101,2024-12-27,3,464,Pulses (kg),4.4,28.68
102,2025-03-15,4,429,Water (L),1.6,8.47
103,2025-04-05,5,1186,Pulses (kg),1.8,6.79
104,2025-01-08,2,1060,Medicine Pack,7.0,46.14
105,2024-11-08,1,463,Flour (kg),1.7,9.4
106,2025-01-22,6,915,Rice (kg),6.9,36.27
107,2025-01-18,1,365,Hygiene Kit,7.0,26.67
108,2025-01-24,4,1018,Pulses (kg),1.5,7.62
109,2024-11-28,4,744,Pulses (kg),1.5,8.72
110,2025-07-10,2,1695,Medicine Pack,2.0,7.09
111,2025-03-27,5,97,Rice (kg),0.4,2.24
112,2025-04-01,4,896,Medicine Pack,12.0,69.74
113,2025-05-09,3,12,Flour (kg),12.7,44.18
114,2025-06-11,1,40,Cooking Oil (L),7.5,25.83
115,2025-07-15,2,1753,Flour (kg),13.1,42.43
116,2025-02-10,4,220,Flour (kg),1.5,5.48
117,2025-03-19,6,828,Hygiene Kit,5.0,30.9
118,2025-03-29,3,1659,Pulses (kg),3.5,21.92
119,2025-03-05,5,331,Medicine Pack,5.0,28.55
120,2025-02-18,6,710,Pulses (kg),1.3,7.33
121,2025-07-12,5,1242,Medicine Pack,10.0,53.44
122,2024-12-06,1,398,Rice (kg),9.5,56.27
123,2025-08-20,6,885,Rice (kg),2.3,9.26
124,2024-12-13,4,1822,Cooking Oil (L),5.9,38.93
125,2025-03-31,2,1032,Flour (kg),0.8,4.73
126,2025-07-17,5,828,Water (L),13.7,62.0
127,2025-08-25,2,1472,Flour (kg),3.1,15.14
128,2025-03-17,5,585,Flour (kg),5.3,35.26
129,2025-05-28,3,183,Flour (kg),3.8,14.93
130,2024-12-23,4,659,Flour (kg),14.3,61.38
131,2024-11-25,3,127,Hygiene Kit,14.0,65.08
132,2025-06-30,1,1543,Cooking Oil (L),2.5,14.98
133,2025-08-17,4,1035,Pulses (kg),7.1,33.38
134,2024-11-14,2,889,Pulses (kg),0.6,2.77
135,2025-01-17,3,941,Water (L),5.0,18.23
136,2024-11-06,4,1982,Rice (kg),1.0,4.28
137,2024-10-07,6,1360,Rice (kg),2.6,13.22
138,2025-04-01,4,682,Cooking Oil (L),1.2,5.23
139,2024-10-03,2,1785,Flour (kg),1.8,8.58
140,2025-05-26,5,1509,Medicine Pack,2.0,12.22
141,2025-04-12,6,1034,Cooking Oil (L),2.7,12.25
142,2025-05-29,1,1786,Cooking Oil (L),13.5,87.69
143,2025-03-05,1,49,Water (L),5.5,18.23
144,2025-03-20,3,991,Cooking Oil (L),3.1,12.86
145,2025-08-11,4,408,Rice (kg),5.0,27.27
146,2025-07-16,1,155,Pulses (kg),4.7,17.22
147,2025-01-20,1,1854,Rice (kg),11.7,36.43
148,2025-06-28,2,1754,Hygiene Kit,1.0,5.67
149,2025-05-29,2,1530,Cooking Oil (L),5.5,24.35
150,2025-08-25,3,132,Pulses (kg),17.1,83.24
151,2025-01-20,2,933,Rice (kg),5.0,26.39
152,2025-05-28,5,1059,Flour (kg),0.8,4.43
153,2025-07-31,5,359,Flour (kg),3.5,13.68
154,2025-08-17,5,77,Rice (kg),4.9,19.7
155,2024-10-18,4,1021,Pulses (kg),5.1,20.99
156,2025-06-10,3,1038,Rice (kg),11.0,35.24
157,2025-01-02,3,1483,Water (L),6.0,39.72
158,2024-11-07,2,1412,Rice (kg),10.6,47.56
159,2024-12-03,1,1226,Flour (kg),3.6,20.41
160,2025-06-22,5,1688,Cooking Oil (L),8.8,31.78
161,2024-11-27,2,444,Hygiene Kit,10.0,68.42
162,2025-01-27,3,594,Medicine Pack,2.0,11.28
163,2025-03-05,3,1313,Water (L),4.4,22.82
164,2024-09-22,5,165,Pulses (kg),7.2,22.06
165,2025-04-01,3,1148,Water (L),5.9,31.78
166,2025-01-07,4,753,Water (L),4.5,17.16
167,2025-04-06,1,1880,Rice (kg),7.4,42.94
168,2025-01-24,3,1165,Water (L),0.2,0.85
169,2025-08-12,3,1257,Flour (kg),6.0,29.21
170,2025-04-22,2,332,Rice (kg),7.0,29.13
171,2024-09-17,6,694,Rice (kg),9.5,47.32
172,2025-02-02,1,317,Water (L),8.9,56.55
173,2025-03-26,3,14,Hygiene Kit,2.0,7.75
174,2024-10-12,1,1429,Cooking Oil (L),5.0,26.32
175,2025-02-11,4,656,Rice (kg),6.1,29.44
